gene_stable_id,gene_name
ENSDARG00000059653,kdm2aa
ENSDARG00000059836,ddit3
ENSDARG00000059963,polk
ENSDARG00000060041,lig1
ENSDARG00000060089,btaf1
ENSDARG00000060506,sos2
ENSDARG00000060529,nkx6.3
ENSDARG00000060620,lig4
ENSDARG00000060697,kmt2bb
ENSDARG00000060734,hesx1
ENSDARG00000060862,atxn1b
ENSDARG00000060925,jarid2a
ENSDARG00000060937,adnp2a
ENSDARG00000060951,polg
ENSDARG00000061011,hlfb
ENSDARG00000061509,tbx3b
ENSDARG00000061547,zgc:153409
ENSDARG00000061687,atxn1a
ENSDARG00000061774,mbd3a
ENSDARG00000061810,mbd3b
ENSDARG00000061818,meox2b
ENSDARG00000061836,nfixb
ENSDARG00000061885,satb2
ENSDARG00000062002,adnpa
ENSDARG00000062060,gmeb1
ENSDARG00000062268,jarid2b
ENSDARG00000062269,fan1
ENSDARG00000062361,paxbp1
ENSDARG00000062553,bach1a
ENSDARG00000062621,satb1b
ENSDARG00000062646,tet3
ENSDARG00000062824,alx1
ENSDARG00000062892,foxe3
ENSDARG00000062915,polr3b
ENSDARG00000062962,kmt2ba
ENSDARG00000062983,fbxo18
ENSDARG00000063186,BEND7
ENSDARG00000063255,btbd11a
ENSDARG00000063258,rfx5
ENSDARG00000063276,msh3
ENSDARG00000063417,erf
ENSDARG00000063649,tead3b
ENSDARG00000067591,puraa
ENSDARG00000067658,BX470189.1
ENSDARG00000067729,arid3c
ENSDARG00000067850,jund
ENSDARG00000067913,ints9
ENSDARG00000067976,ar
ENSDARG00000068365,lmx1bb
ENSDARG00000068406,six5
ENSDARG00000068407,six9
ENSDARG00000068417,foxl2b
ENSDARG00000068428,si:ch211-153j24.3
ENSDARG00000068434,h3f3b.1
ENSDARG00000068436,si:ch1073-429i10.3
ENSDARG00000068820,h2az2a
ENSDARG00000068822,purba
ENSDARG00000068919,rad51c
ENSDARG00000068941,zgc:113983
ENSDARG00000068976,bsx
ENSDARG00000068995,h2ax1
ENSDARG00000068996,hist2h2l
ENSDARG00000069074,cry3a
ENSDARG00000069196,ebf1b
ENSDARG00000069252,mixl1
ENSDARG00000069266,esrra
ENSDARG00000069274,ighmbp2
ENSDARG00000069289,gabpa
ENSDARG00000069326,mus81
ENSDARG00000069327,nkx3.3
ENSDARG00000069329,drgx
ENSDARG00000069382,mxtx1
ENSDARG00000069675,her8.2
ENSDARG00000069715,foxi2
ENSDARG00000069726,glis3
ENSDARG00000069729,mpg
ENSDARG00000069737,pou4f2
ENSDARG00000069763,etv5a
ENSDARG00000069910,gtf2f2a
ENSDARG00000069912,hmga2
ENSDARG00000069988,arid6
ENSDARG00000070013,dmrt2b
ENSDARG00000070069,pitx3
ENSDARG00000070098,lcorl
ENSDARG00000070107,six7
ENSDARG00000070108,dek
ENSDARG00000070151,nfyc
ENSDARG00000070220,pou3f2a
ENSDARG00000070280,hist1h2a3
ENSDARG00000070289,si:ch211-113a14.22
ENSDARG00000070297,CR354435.1
ENSDARG00000070337,hoxc1a
ENSDARG00000070338,hoxc4a
ENSDARG00000070339,hoxc3a
ENSDARG00000070340,hoxc5a
ENSDARG00000070343,hoxc6a
ENSDARG00000070346,hoxc8a
ENSDARG00000070348,hoxc10a
ENSDARG00000070351,hoxc11a
ENSDARG00000070352,hoxc12a
ENSDARG00000070353,hoxc13a
ENSDARG00000070428,si:dkey-222b8.1
ENSDARG00000070432,ino80
ENSDARG00000070458,zgc:153292
ENSDARG00000070463,e2f3
ENSDARG00000070465,si:dkey-13n23.3
ENSDARG00000070538,hey1
ENSDARG00000070542,mafbb
ENSDARG00000070545,top1l
ENSDARG00000070568,atad5a
ENSDARG00000070704,thap7
ENSDARG00000070721,vdrb
ENSDARG00000070769,foxg1a
ENSDARG00000070770,her4.3
ENSDARG00000070818,pax7b
ENSDARG00000070843,arid3a
ENSDARG00000070845,si:dkey-56d12.4
ENSDARG00000070913,sox2
ENSDARG00000070951,hmga1b
ENSDARG00000070954,hmx2
ENSDARG00000070955,hmx3a
ENSDARG00000070959,si:ch211-288g17.3
ENSDARG00000070981,ash1l
ENSDARG00000071116,eepd1
ENSDARG00000071394,foxq2
ENSDARG00000071418,gbx1
ENSDARG00000071496,zic6
ENSDARG00000071497,zic3
ENSDARG00000071551,xrcc6
ENSDARG00000071560,dlx4b
ENSDARG00000071565,hnf4g
ENSDARG00000071684,rx1
ENSDARG00000071733,si:ch211-207i20.3
ENSDARG00000071868,znf711
ENSDARG00000073814,pax1b
ENSDARG00000073944,si:ch73-386h18.1
ENSDARG00000073957,tox3
ENSDARG00000074012,si:ch1073-159d7.7
ENSDARG00000074030,myt1a
ENSDARG00000074070,irx5b
ENSDARG00000074148,rbpjl
ENSDARG00000074274,POLR2E
ENSDARG00000074293,adnpb
ENSDARG00000074326,mcm8
ENSDARG00000074378,junba
ENSDARG00000074410,brip1
ENSDARG00000074442,alx4b
ENSDARG00000074453,zfx
ENSDARG00000074752,hlfa
ENSDARG00000074889,CT025742.1
ENSDARG00000075083,prkdc
ENSDARG00000075107,nkx2.4a
ENSDARG00000075113,nanog
ENSDARG00000075211,chd7
ENSDARG00000075226,smad4a
ENSDARG00000075230,tet1
ENSDARG00000075269,si:dkey-20i10.7
ENSDARG00000075330,phox2ba
ENSDARG00000075450,mkxa
ENSDARG00000075482,zgc:173587
ENSDARG00000075508,si:dkey-108k21.10
ENSDARG00000075538,zgc:163061
ENSDARG00000075542,zfhx4
ENSDARG00000075543,chd8
ENSDARG00000075569,gpbp1l1
ENSDARG00000075616,polr2k
ENSDARG00000075624,bend5
ENSDARG00000075682,orc6
ENSDARG00000075713,shox2
ENSDARG00000075735,cxxc5b
ENSDARG00000075774,foxj3
ENSDARG00000075783,hmgxb4a
ENSDARG00000075884,shprh
ENSDARG00000075904,rfx1b
ENSDARG00000075952,mbd2
ENSDARG00000076120,foxp4
ENSDARG00000076182,stat1b
ENSDARG00000076251,irf3
ENSDARG00000076259,tbr1a
ENSDARG00000076262,pou3f2b
ENSDARG00000076297,nfatc3a
ENSDARG00000076437,zgc:163143
ENSDARG00000076501,asxl2
ENSDARG00000076512,si:ch211-265g22.4
ENSDARG00000076520,mafb
ENSDARG00000076533,nfe2l1b
ENSDARG00000076611,fbxo21
ENSDARG00000076657,plagl2
ENSDARG00000076716,palb2
ENSDARG00000076766,zgc:163061
ENSDARG00000076857,her3
ENSDARG00000076903,bend3
ENSDARG00000076913,eme1
ENSDARG00000076920,ZNF335
ENSDARG00000077089,blm
ENSDARG00000077092,elk4
ENSDARG00000077120,arid5a
ENSDARG00000077226,smarca4a
ENSDARG00000077227,fbxl6
ENSDARG00000077237,rfx7a
ENSDARG00000077361,bptf
ENSDARG00000077428,camta1a
ENSDARG00000077456,si:ch211-113a14.12
ENSDARG00000077467,sox10
ENSDARG00000077469,polr1b
ENSDARG00000077471,hmces
ENSDARG00000077473,mych
ENSDARG00000077504,si:ch211-103n10.5
ENSDARG00000077811,sox11a
ENSDARG00000077817,cxxc4
ENSDARG00000077823,hmgxb3
ENSDARG00000077840,meis2a
ENSDARG00000077852,samd11
ENSDARG00000077900,si:ch211-141o9.10
ENSDARG00000077915,lmx1al
ENSDARG00000077982,elf3
ENSDARG00000078133,kdm2ab
ENSDARG00000078206,zgc:171506
ENSDARG00000078214,mybbp1a
ENSDARG00000078238,nacc1b
ENSDARG00000078279,foxp3b
ENSDARG00000078280,nkx3-1
ENSDARG00000078416,zeb2b
ENSDARG00000078459,cux1a
ENSDARG00000078497,timeless
ENSDARG00000078541,cers3a
ENSDARG00000078676,myrf
ENSDARG00000078759,dna2
ENSDARG00000078781,si:ch211-161c3.6
ENSDARG00000078865,cxxc5a
ENSDARG00000078941,ano9a
ENSDARG00000078954,rxrba
ENSDARG00000079015,brca2
ENSDARG00000079020,gcfc2
ENSDARG00000079187,tbx19
ENSDARG00000079201,tshz2
ENSDARG00000079266,foxe1
ENSDARG00000079373,fosl1b
ENSDARG00000079382,hdx
ENSDARG00000079626,elf2b
ENSDARG00000079639,PRRC2B
ENSDARG00000079699,zgc:162612
ENSDARG00000079915,pot1
ENSDARG00000079964,dlx2a
ENSDARG00000079972,nfatc2b
ENSDARG00000086173,relb
ENSDARG00000086345,cux2b
ENSDARG00000086362,pou6f2
ENSDARG00000086393,dbx1a
ENSDARG00000086552,hist1h2a11
ENSDARG00000086591,si:ch211-113a14.11
ENSDARG00000086775,top1
ENSDARG00000086892,erfl1
ENSDARG00000086980,mbd6
ENSDARG00000087094,foxa
ENSDARG00000087186,si:ch211-232b12.5
ENSDARG00000087195,rorc
ENSDARG00000087303,cebpd
ENSDARG00000087394,tshz3a
ENSDARG00000087483,si:dkey-226l10.6
ENSDARG00000087646,runx1
ENSDARG00000087897,macroh2a2
ENSDARG00000088276,H2BE1
ENSDARG00000088332,alx4a
ENSDARG00000088686,hist1h2a11
ENSDARG00000088810,prox3
ENSDARG00000088844,deaf1
ENSDARG00000089039,zgc:173585
ENSDARG00000089042,foxb1a
ENSDARG00000089262,pbx3a
ENSDARG00000089368,hopx
ENSDARG00000089434,etv7
ENSDARG00000089456,men1
ENSDARG00000089463,dhx58
ENSDARG00000089697,nfe2l2b
ENSDARG00000090387,onecut2
ENSDARG00000090449,sp100.3
ENSDARG00000090656,tomm20a
ENSDARG00000091029,phox2bb
ENSDARG00000091059,onecut3b
ENSDARG00000091131,cry3b
ENSDARG00000091271,cenpt
ENSDARG00000091287,ebf3b
ENSDARG00000091595,LO018154.1
ENSDARG00000091728,zgc:114046
ENSDARG00000091748,tbx22
ENSDARG00000091768,dclre1a
ENSDARG00000091905,si:dkey-108k21.21
ENSDARG00000092060,tbx5b
ENSDARG00000092136,cenpw
ENSDARG00000092174,fosl2l
ENSDARG00000092305,poldip2
ENSDARG00000092503,arid1b
ENSDARG00000092635,si:ch211-51e8.2
ENSDARG00000092799,camta2
ENSDARG00000092809,hoxc9a
ENSDARG00000092816,si:dkey-93n13.2
ENSDARG00000093022,selenoh
ENSDARG00000093129,si:rp71-45k5.2
ENSDARG00000093170,mef2b
ENSDARG00000093240,GMEB2
ENSDARG00000093420,creb1b
ENSDARG00000093496,si:zfos-905g2.1
ENSDARG00000093799,setbp1
ENSDARG00000093978,zgc:77486
ENSDARG00000094038,si:ch211-226f6.1
ENSDARG00000094154,hist2h3c
ENSDARG00000094214,si:dkeyp-117b8.4
ENSDARG00000094230,si:dkey-211g8.4
ENSDARG00000094345,si:dkey-261l7.2
ENSDARG00000094387,si:dkeyp-30e7.2
ENSDARG00000094426,her4.2
ENSDARG00000094992,otx1
ENSDARG00000095007,sinhcafl
ENSDARG00000095046,pold2
ENSDARG00000095549,si:dkeyp-106c3.2
ENSDARG00000095651,hmx1
ENSDARG00000095896,pou3f3b
ENSDARG00000096711,si:ch211-194k22.8
ENSDARG00000096716,hmx3b
ENSDARG00000096816,si:dkeyp-106c3.2
ENSDARG00000096992,zgc:153405
ENSDARG00000097302,tbpl2
ENSDARG00000097385,si:ch211-15d5.12
ENSDARG00000097546,si:ch211-40k21.9
ENSDARG00000097637,si:ch211-246i5.5
ENSDARG00000098228,thrap3b
ENSDARG00000098231,hhex
ENSDARG00000098240,meis2a
ENSDARG00000098348,znf326
ENSDARG00000098375,polr1a
ENSDARG00000098424,CABZ01079241.1
ENSDARG00000098439,nr1h3
ENSDARG00000098443,zfand6
ENSDARG00000098507,lyar
ENSDARG00000098595,hist1h2a11
ENSDARG00000098696,rela
ENSDARG00000098730,en1b
ENSDARG00000098739,h2af1al
ENSDARG00000098767,CABZ01007829.1
ENSDARG00000098783,polr2b
ENSDARG00000098834,sox4b
ENSDARG00000098889,si:zfos-128g4.2
ENSDARG00000098897,pds5b
ENSDARG00000098903,tfe3a
ENSDARG00000098952,gata4
ENSDARG00000098970,CU459186.1
ENSDARG00000099021,setdb1b
ENSDARG00000099123,CU459186.2
ENSDARG00000099164,nacc1a
ENSDARG00000099175,hmgb1a
ENSDARG00000099187,purg
ENSDARG00000099247,si:dkey-68o6.5
ENSDARG00000099298,xrcc5
ENSDARG00000099329,macroh2a1
ENSDARG00000099365,evx1
ENSDARG00000099373,zgc:158320
ENSDARG00000099427,nkx1.2lb
ENSDARG00000099483,vdra
ENSDARG00000099514,zgc:112234
ENSDARG00000099519,cpdp
ENSDARG00000099555,foxo1a
ENSDARG00000099590,BX914205.2
ENSDARG00000099614,purab
ENSDARG00000099619,CABZ01083166.1
ENSDARG00000099635,akap8l
ENSDARG00000099743,zgc:113019
ENSDARG00000099761,vox
ENSDARG00000099849,ebf3a
ENSDARG00000099920,zgc:163040
ENSDARG00000099926,si:dkey-26m3.1
ENSDARG00000099966,polr2a
ENSDARG00000100024,hist1h2a6
ENSDARG00000100028,pole2
ENSDARG00000100055,tox2
ENSDARG00000100087,evx1
ENSDARG00000100097,mafgb
ENSDARG00000100163,tox4b
ENSDARG00000100244,ebf3a
ENSDARG00000100259,zgc:171759
ENSDARG00000100279,CU457819.1
ENSDARG00000100312,hoxa13a
ENSDARG00000100384,CT990567.1
ENSDARG00000100398,pax7a
ENSDARG00000100401,
ENSDARG00000100466,nrl
ENSDARG00000100483,vent
ENSDARG00000100486,foxo6a
ENSDARG00000100494,pbx1a
ENSDARG00000100503,sos1
ENSDARG00000100560,zfpm2b
ENSDARG00000100591,sox32
ENSDARG00000100722,si:ch211-160f23.7
ENSDARG00000100769,CABZ01085201.1
ENSDARG00000100847,esrrb
ENSDARG00000100906,hist1h2a11
ENSDARG00000100908,lcor
ENSDARG00000100910,si:ch211-195p4.4
ENSDARG00000100927,nfatc2a
ENSDARG00000100940,nr5a2
ENSDARG00000100947,mafk
ENSDARG00000101023,msx2b
ENSDARG00000101076,irx3a
ENSDARG00000101112,FO704777.1
ENSDARG00000101131,pbx1b
ENSDARG00000101161,orc4
ENSDARG00000101180,mcm7
ENSDARG00000101205,mbd1a
ENSDARG00000101220,polrmt
ENSDARG00000101244,gli1
ENSDARG00000101249,zgc:165555
ENSDARG00000101462,setdb2
ENSDARG00000101474,snapc3
ENSDARG00000101508,nr6a1a
ENSDARG00000101523,arxb
ENSDARG00000101549,nkx2.2b
ENSDARG00000101559,zhx2b
ENSDARG00000101578,e2f4
ENSDARG00000101618,ube2c
ENSDARG00000101645,myrfl
ENSDARG00000101710,arid1aa
ENSDARG00000101717,sox17
ENSDARG00000101720,CU459186.3
ENSDARG00000101831,irx1a
ENSDARG00000101891,arid1ab
ENSDARG00000101954,hoxc6b
ENSDARG00000101959,etv1
ENSDARG00000101986,irf6
ENSDARG00000101989,thrap3a
ENSDARG00000101994,CR354398.1
ENSDARG00000101996,cxxc1a
ENSDARG00000102082,nr3c2
ENSDARG00000102091,CABZ01052576.1
ENSDARG00000102138,foxa1
ENSDARG00000102339,si:dkey-5n7.2
ENSDARG00000102389,ved
ENSDARG00000102403,cry2
ENSDARG00000102501,hoxa5a
ENSDARG00000102550,CABZ01080371.1
ENSDARG00000102556,nfat5b
ENSDARG00000102569,polr3a
ENSDARG00000102586,zgc:152938
ENSDARG00000102588,sp100.2
ENSDARG00000102590,polr3h
ENSDARG00000102631,hoxc11b
ENSDARG00000102714,si:dkey-13n23.3
ENSDARG00000102765,lonp1
ENSDARG00000102788,si:zfos-128g4.1
ENSDARG00000102798,mcm2
ENSDARG00000102806,zgc:112234
ENSDARG00000102839,si:ch211-211k8.4
ENSDARG00000102867,srfb
ENSDARG00000102892,h1m
ENSDARG00000102899,cremb
ENSDARG00000102974,baz2a
ENSDARG00000102976,uncx
ENSDARG00000103015,hist1h2a2
ENSDARG00000103057,zfhx3
ENSDARG00000103133,hoxc12b
ENSDARG00000103176,nr5a1a
ENSDARG00000103186,si:ch73-389k6.1
ENSDARG00000103361,tshz3b
ENSDARG00000103379,pax6a
ENSDARG00000103409,uhrf1
ENSDARG00000103470,polm
ENSDARG00000103589,gata6
ENSDARG00000103691,rfx7b
ENSDARG00000103697,arnt2
ENSDARG00000103700,si:ch211-239d6.2
ENSDARG00000103767,CR855320.2
ENSDARG00000103819,CU459186.4
ENSDARG00000103862,hoxa4a
ENSDARG00000103933,fancm
ENSDARG00000103961,poln
ENSDARG00000103972,CR352209.1
ENSDARG00000103977,terf2ip
ENSDARG00000103980,ets2
ENSDARG00000104030,taf12
ENSDARG00000104034,arid3b
ENSDARG00000104090,june
ENSDARG00000104107,nkx2.4b
ENSDARG00000104144,si:dkey-68o6.8
ENSDARG00000104162,hoxa11a
ENSDARG00000104199,si:dkey-43p13.5
ENSDARG00000104243,eomesb
ENSDARG00000104307,hoxa1a
ENSDARG00000104339,SMARCA4
ENSDARG00000104350,si:dkey-68o6.6
ENSDARG00000104361,barhl2
ENSDARG00000104434,CABZ01048453.1
ENSDARG00000104501,FP236812.1
ENSDARG00000104516,polr3d
ENSDARG00000104560,CT990561.2
ENSDARG00000104566,foxi1
ENSDARG00000104588,zgc:112234
ENSDARG00000104651,msx2a
ENSDARG00000104657,CU915762.1
ENSDARG00000104686,hsf5
ENSDARG00000104709,sprtn
ENSDARG00000104735,nkx6.2
ENSDARG00000104773,junbb
ENSDARG00000104792,dntt
ENSDARG00000104809,top1mt
ENSDARG00000104815,lmx1ba
ENSDARG00000104979,CR388055.1
ENSDARG00000105013,hoxa9a
ENSDARG00000105053,CABZ01093502.2
ENSDARG00000105078,CABZ01002809.1
ENSDARG00000105083,chd5
ENSDARG00000105098,dr1
ENSDARG00000105177,ilf3b
ENSDARG00000105261,nfkb1
ENSDARG00000105301,sox8a
ENSDARG00000105314,CU459186.5
ENSDARG00000105318,hist1h4l
ENSDARG00000105328,si:dkey-23a13.17
ENSDARG00000105340,zgc:112234
ENSDARG00000105342,si:dkey-23a13.12
ENSDARG00000105345,zgc:173552
ENSDARG00000105350,si:ch1073-153i20.4
ENSDARG00000105352,hist1h4l
ENSDARG00000105353,hist1h4l
ENSDARG00000105355,zgc:154164
ENSDARG00000105359,FP325123.1
ENSDARG00000105366,hist1h2a10
ENSDARG00000105374,CU457819.2
ENSDARG00000105376,hist1h4l
ENSDARG00000105382,hist1h4l
ENSDARG00000105384,si:dkey-23a13.22
ENSDARG00000105393,zgc:112234
ENSDARG00000105397,si:ch211-113a14.22
ENSDARG00000105400,CU457819.3
ENSDARG00000105409,hist1h4l
ENSDARG00000105414,zgc:112234
ENSDARG00000105418,CU457819.4
ENSDARG00000105430,si:ch73-368j24.11
ENSDARG00000105431,si:dkey-23a13.9
ENSDARG00000105444,hist1h2a11
ENSDARG00000105459,H3C15
ENSDARG00000105468,zgc:112234
ENSDARG00000105471,si:ch73-368j24.1
ENSDARG00000105478,si:ch1073-153i20.5
ENSDARG00000105482,hist1h4l
ENSDARG00000105483,zgc:112234
ENSDARG00000105484,FP325123.2
ENSDARG00000105502,si:ch73-368j24.12
ENSDARG00000105507,zgc:112234
ENSDARG00000105508,si:dkey-23a13.21
ENSDARG00000105562,si:dkey-23i12.7
ENSDARG00000105594,MAJIN
ENSDARG00000106560,MCMDC2
ENSDARG00000109287,HMBOX1
ENSDARG00000109370,hist1h2ba
ENSDARG00000109458,hist1h2a1
ENSDARG00000109737,zgc:171759
ENSDARG00000109755,hist1h2a3
ENSDARG00000109912,CU570781.2
ENSDARG00000109926,si:ch211-113a14.19
ENSDARG00000110005,CR855257.2
ENSDARG00000110035,hist1h4l
ENSDARG00000110114,CU929414.1
ENSDARG00000110152,hist1h4l
ENSDARG00000110265,AL929237.4
ENSDARG00000110298,mbd4
ENSDARG00000110352,BX897685.1
ENSDARG00000110809,hist1h2a3
ENSDARG00000110812,hist1h4l
ENSDARG00000110841,si:dkey-108k21.14
ENSDARG00000110856,CABZ01020455.1
ENSDARG00000110909,zgc:173552
ENSDARG00000110922,CR847936.6
ENSDARG00000111165,hist1h4l
ENSDARG00000111247,hist1h4l
ENSDARG00000111269,CABZ01087224.1
ENSDARG00000111396,zgc:173552
ENSDARG00000111494,hist1h4l
ENSDARG00000111501,hist1h4l
ENSDARG00000111536,si:ch211-113a14.19
ENSDARG00000111619,hist1h4l
ENSDARG00000111643,CR925720.1
ENSDARG00000111648,hist1h2a3
ENSDARG00000111753,hist1h4l
ENSDARG00000111781,CR388195.1
ENSDARG00000111934,zgc:112234
ENSDARG00000111964,zgc:171759
ENSDARG00000111969,SOX14
ENSDARG00000112131,zgc:173552
ENSDARG00000112175,zgc:173552
ENSDARG00000112375,CR762436.1
ENSDARG00000112491,hist1h4l
ENSDARG00000112528,hist1h4l
ENSDARG00000112561,si:dkey-108k21.11
ENSDARG00000112593,hist1h2a3
ENSDARG00000112647,si:dkey-108k21.24
ENSDARG00000112679,BX649279.1
ENSDARG00000112840,hist1h2a10
ENSDARG00000112895,FO834857.1
ENSDARG00000112923,VDR
ENSDARG00000112947,BX294110.3
ENSDARG00000112954,hist1h4l
ENSDARG00000112967,CR762436.2
ENSDARG00000113012,CABZ01112050.1
ENSDARG00000113205,zgc:163040
ENSDARG00000113399,FP236630.1
ENSDARG00000113481,si:ch211-113a14.19
ENSDARG00000113607,BEND4
ENSDARG00000113654,CU861574.1
ENSDARG00000113707,si:ch211-113a14.19
ENSDARG00000113800,si:dkey-108k21.19
ENSDARG00000113841,AL844172.2
ENSDARG00000113877,hoxc13b
ENSDARG00000114125,si:dkey-261m9.19
ENSDARG00000114133,hist1h2a5
ENSDARG00000114169,CR354435.2
ENSDARG00000114180,FP236812.2
ENSDARG00000114182,mkxb
ENSDARG00000114195,zgc:171759
ENSDARG00000114307,CR354612.1
ENSDARG00000114334,
ENSDARG00000114370,FQ312024.1
ENSDARG00000114405,zgc:194989
ENSDARG00000114500,CU302436.1
ENSDARG00000114534,hist1h4l
ENSDARG00000114554,cdx1a
ENSDARG00000114670,ube2c
ENSDARG00000114741,CABZ01008739.1
ENSDARG00000114895,si:ch211-113a14.22
ENSDARG00000115054,hist1h4l
ENSDARG00000115201,BX323062.1
ENSDARG00000115281,hist1h4l
ENSDARG00000115365,CR753816.2
ENSDARG00000115480,CABZ01005857.1
ENSDARG00000115482,BX322622.1
ENSDARG00000115644,zgc:173552
ENSDARG00000115766,si:ch73-36p18.1
ENSDARG00000115799,hist1h4l
ENSDARG00000115875,si:ch211-113a14.19
ENSDARG00000115938,zgc:171759
ENSDARG00000115962,LO017799.1
ENSDARG00000116118,msx1a
ENSDARG00000116139,cdx1b
ENSDARG00000116298,CR628395.1
ENSDARG00000116491,h2az2b
ENSDARG00000116608,pitx1
ENSDARG00000116654,
ENSDARG00000116781,hist1h4l
ENSDARG00000117168,BX649431.4
ENSDARG00000117189,CR318625.2
